timestamp(America/Los_Angeles),temp(°C)
10/18/2019 11:15,21.1
10/18/2019 11:30,21.2
10/18/2019 11:45,21.1
10/18/2019 12:00,21.1
10/18/2019 12:15,21.1
10/18/2019 12:30,21.3
10/18/2019 12:45,21.4
10/18/2019 13:00,21.3
10/18/2019 13:15,21.2
10/18/2019 13:30,21.2
10/18/2019 13:45,21.3
10/18/2019 14:00,21.6
10/18/2019 14:15,21.6
10/18/2019 14:30,21.4
10/18/2019 14:45,21.4
10/18/2019 15:00,21.4
10/18/2019 15:15,21.4
10/18/2019 15:30,21.6
10/18/2019 15:45,21.6
10/18/2019 16:00,21.5
10/18/2019 16:15,21.5
10/18/2019 16:30,21.7
10/18/2019 16:45,21.8
10/18/2019 17:00,22.2
10/18/2019 17:15,22.1
10/18/2019 17:30,22.2
10/18/2019 17:45,22.4
10/18/2019 18:00,22.3
10/18/2019 18:15,22.3
10/18/2019 18:30,22.4
10/18/2019 18:45,22.1
10/18/2019 19:00,22.1
10/18/2019 19:15,22
10/18/2019 19:30,22
10/18/2019 19:45,22.3
10/18/2019 20:00,22.1
10/18/2019 20:15,21.9
10/18/2019 20:30,21.6
10/18/2019 20:45,21.8
10/18/2019 21:00,21.9
10/18/2019 21:15,22.2
10/18/2019 21:30,21.9
10/18/2019 21:45,22.3
10/18/2019 22:00,22.7
10/18/2019 22:15,22.4
10/18/2019 22:30,22.4
10/18/2019 22:45,22.3
10/18/2019 23:00,22.4
10/18/2019 23:15,22.9
10/18/2019 23:30,23.3
10/18/2019 23:45,23.1
10/19/2019 0:00,23.1
10/19/2019 0:15,23.4
10/19/2019 0:30,23.6
10/19/2019 0:45,23.4
10/19/2019 1:00,23.6
10/19/2019 1:15,23.5
10/19/2019 1:30,23
10/19/2019 1:45,23
10/19/2019 2:00,22.8
10/19/2019 2:15,22.8
10/19/2019 2:30,22.8
10/19/2019 2:45,22.9
10/19/2019 3:00,22.8
10/19/2019 3:15,22.5
10/19/2019 3:30,22.4
10/19/2019 3:45,22.4
10/19/2019 4:00,22.3
10/19/2019 4:15,22.5
10/19/2019 4:30,22.3
10/19/2019 4:45,22.2
10/19/2019 5:00,22.2
10/19/2019 5:15,22.1
10/19/2019 5:30,22.1
10/19/2019 5:45,22.4
10/19/2019 6:00,22.1
10/19/2019 6:15,22
10/19/2019 6:30,21.9
10/19/2019 6:45,21.9
10/19/2019 7:00,21.9
10/19/2019 7:15,22.1
