"Date / Time","Object Name","Object Value",
"10/19/2019 11:50:00 PM","OA-T.Trend - Present Value (Trend1)","53.78 ",
"10/19/2019 11:50:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 11:50:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.2846 ",
"10/19/2019 11:50:00 PM","HHWR-T.Trend - Present Value (Trend1)","135.8419 ",
"10/19/2019 11:40:00 PM","OA-T.Trend - Present Value (Trend1)","53.78 ",
"10/19/2019 11:40:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 11:40:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.2846 ",
"10/19/2019 11:40:00 PM","HHWR-T.Trend - Present Value (Trend1)","135.8419 ",
"10/19/2019 11:30:00 PM","OA-T.Trend - Present Value (Trend1)","53.6 ",
"10/19/2019 11:30:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 11:30:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.2846 ",
"10/19/2019 11:30:00 PM","HHWR-T.Trend - Present Value (Trend1)","135.8419 ",
"10/19/2019 11:20:00 PM","OA-T.Trend - Present Value (Trend1)","53.96 ",
"10/19/2019 11:20:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 11:20:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.2846 ",
"10/19/2019 11:20:00 PM","HHWR-T.Trend - Present Value (Trend1)","135.8419 ",
"10/19/2019 11:10:00 PM","OA-T.Trend - Present Value (Trend1)","53.96 ",
"10/19/2019 11:10:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 11:10:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.2846 ",
"10/19/2019 11:10:00 PM","HHWR-T.Trend - Present Value (Trend1)","135.8419 ",
"10/19/2019 11:00:00 PM","OA-T.Trend - Present Value (Trend1)","54.5 ",
"10/19/2019 11:00:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 11:00:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.2574 ",
"10/19/2019 11:00:00 PM","HHWR-T.Trend - Present Value (Trend1)","135.8419 ",
"10/19/2019 10:50:00 PM","OA-T.Trend - Present Value (Trend1)","54.68 ",
"10/19/2019 10:50:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 10:50:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.2257 ",
"10/19/2019 10:50:00 PM","HHWR-T.Trend - Present Value (Trend1)","135.8419 ",
"10/19/2019 10:40:00 PM","OA-T.Trend - Present Value (Trend1)","54.86 ",
"10/19/2019 10:40:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 10:40:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.2257 ",
"10/19/2019 10:40:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 10:30:00 PM","OA-T.Trend - Present Value (Trend1)","55.04 ",
"10/19/2019 10:30:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 10:30:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.2257 ",
